STA_LOC,RENT_ID,RENT_NO,RENT_NM,RENT_ID_NM,HOLD_NUM,STA_ADD1,STA_ADD2,STA_LAT,STA_LONG,START_INDEX,END_INDEX,RNUM
송파구,ST-1367,01275,거여초등학교 옆,1275. 거여초등학교 옆,15,서울특별시 송파구 마천로25길 18,거여초등학교 옆,37.50458908,127.13936615,0,0,353
강동구,ST-1369,01047,강동 한신휴플러스,1047. 강동 한신휴플러스,10,서울특별시 강동구 천호대로175길 39,,37.53647232,127.13715363,0,0,354
중구,ST-137,00321,KEB 하나금융그룹 명동사옥 옆,321. KEB 하나금융그룹 명동사옥 옆,15,서울특별시 중구 을지로 66,한국외환은행 본점 앞,37.56546402,126.98413849,0,0,355
강동구,ST-1370,01048,둔촌어린이공원,1048. 둔촌어린이공원,13,서울특별시 강동구 둔촌동 77-2,,37.53099442,127.14237213,0,0,356
강동구,ST-1371,01049,강일리버파크 10단지,1049. 강일리버파크 10단지,10,서울특별시 강동구 강일동 695-1,,37.56120300,127.18026733,0,0,357
종로구,ST-1372,00393,동대문역 8번 출구,393. 동대문역 8번 출구,12,서울특별시 종로구 율곡로 지하 308,동대문역 8번출구,37.57014084,127.00937653,0,0,358
종로구,ST-1373,00394,경희궁 자이 3단지,394. 경희궁 자이 3단지,15,서울특별시 종로구 경교장길 35,경희궁자이 3단지,37.56748962,126.96591949,0,0,359
종로구,ST-1374,00395,경희궁 자이 2단지,395. 경희궁 자이 2단지,8,서울특별시 종로구 송월길 99,경희궁 자이 3단지,37.56885529,126.96456146,0,0,360
중랑구,ST-1375,01455,상봉역 2번 출구,1455. 상봉역 2번 출구,10,서울특별시 중랑구 망우로 297,상봉역 2번 출구,37.59632874,127.08589935,0,0,361
용산구,ST-1376,00838,숙대입구역 4번출구,838. 숙대입구역 4번출구,8,서울특별시 용산구 한강대로 지하 306,숙대입구역 4번출구,37.54446030,126.97238922,0,0,362
성동구,ST-1377,03522,사근삼거리,3522. 사근삼거리,15,서울특별시 성동구 사근동 241-2,,37.56102753,127.04952240,0,0,363
광진구,ST-1378,03520,광진경찰서,3520. 광진경찰서,10,서울특별시 광진구 자양로 167,광진경찰서,37.54251862,127.08408356,0,0,364
광진구,ST-1379,03521,현대홈타운 뒷길,3521. 현대홈타운 뒷길,10,서울특별시 광진구 아차산로69길 29,현대홈타운 뒷길,37.54342651,127.09661865,0,0,365
중구,ST-138,00322,명동성당 앞,322. 명동성당 앞,10,서울특별시 중구 명동길 74,명동성당 앞,37.56447601,126.98696899,0,0,366
중랑구,ST-1380,01456,상아빌딩(우림시장 교차로),1456. 상아빌딩(우림시장 교차로),10,서울특별시 중랑구 용마산로 494,상아빌딩(우림시장 교차로),37.59511185,127.10032654,0,0,367
중랑구,ST-1381,01457,동원사거리,1457. 동원사거리,10,서울특별시 중랑구 겸재로 229,동원사거리,37.58975983,127.09323883,0,0,368
성북구,ST-1383,01357,북한산보국문역,1357. 북한산보국문역,10,서울특별시 성북구 보국문로 91,북한산보국문역,37.61207199,127.00813293,0,0,369
성북구,ST-1384,01358,정릉도서관 앞,1358. 정릉도서관 앞,7,서울특별시 성북구 보국문로 7-10,정릉도서관 앞,37.60478973,127.01058197,0,0,370
성북구,ST-1385,01359,장위뉴타운 꿈에 숲 코오롱 하늘채 앞,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,8,서울특별시 성북구 월계로 172,장위뉴타운 꿈에 숲 코오롱 하늘채 앞,37.61980057,127.04509735,0,0,371
성북구,ST-1386,01360,정릉역,1360. 정릉역,10,서울특별시 성북구 정릉로 272,정릉역,37.60309601,127.01350403,0,0,372
강북구,ST-1387,01537,북한산 우이역,1537. 북한산 우이역,10,서울특별시 강북구 삼양로 670,북한산 우이역,37.66366577,127.01242828,0,0,373
강북구,ST-1388,01538,솔밭공원역,1538. 솔밭공원역,8,서울특별시 강북구 삼양로 595,솔밭공원역,37.65615845,127.01313782,0,0,374
강북구,ST-1389,01539,419민주묘지역,1539. 4.19민주묘지역,10,서울특별시 강북구 삼양로 519,4.19민주묘지역,37.64967346,127.01345062,0,0,375
중구,ST-139,00323,서울 중앙우체국 앞,323. 서울 중앙우체국 앞,3,서울특별시 중구 소공로 70,서울중앙우체국 앞,37.56179428,126.98158264,0,0,376
강북구,ST-1390,01540,가오리역,1540. 가오리역,8,서울특별시 강북구 삼양로 426,가오리역,37.64167023,127.01688385,0,0,377
강북구,ST-1391,01541,삼양역,1541. 삼양역,10,서울특별시 강북구 삼양로 263,삼양역,37.62652969,127.01805878,0,0,378
강북구,ST-1392,01542,삼양사거리역,1542. 삼양사거리역,10,서울특별시 강북구 삼양로 197,삼양사거리역,37.62155151,127.02037048,0,0,379
노원구,ST-1394,01678,성서대학교 밀알관,1678. 성서대학교 밀알관,10,서울특별시 노원구 동일로214길 32,성서대학교 밀알관,37.64843750,127.06444550,0,0,380
노원구,ST-1395,01679,삼육대 도서관,1679. 삼육대 도서관,10,서울특별시 노원구 화랑로 815,삼육대 도서관,37.64282990,127.10666656,0,0,381
노원구,ST-1396,01680,삼육대 제3과학관,1680. 삼육대 제3과학관,7,서울특별시 노원구 화랑로 653,삼육대 후문 삼거리,37.64265442,127.10838318,0,0,382
마포구,ST-1397,00427,성산시영아파트,427. 성산시영아파트,12,서울특별시 마포구 월드컵북로 233-1,,37.56937790,126.90402985,0,0,383
양천구,ST-1398,00750,연의근린공원 건너편,750. 연의근린공원 건너편,10,서울특별시 양천구 신정로7길 70 푸른마을 1단지아파트,,37.51222992,126.83578491,0,0,384
서대문구,ST-14,00116,일진아이윌아파트 옆,116. 일진아이윌아파트 옆,5,서울특별시 서대문구 동교로 290,일진아이윌아파트 옆,37.56454086,126.92707062,0,0,385
중구,ST-140,00324,신세계백화점 본점 앞,324. 신세계백화점 본점 앞,8,서울특별시 중구 충무로1가 53-6,,37.56134415,126.98050690,0,0,386
양천구,ST-1400,00752,성원2차 아파트,752. 성원2차 아파트,10,서울특별시 양천구 목동중앙남로 100,성원2차 아파트,37.54218292,126.86330414,0,0,387
강서구,ST-1402,01168,마곡엠밸리10단지 앞,1168. 마곡엠밸리10단지 앞,14,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지,,37.56029129,126.81875610,0,0,388
금천구,ST-1403,01851,가산디지털단지 9번출구 인근,1851. 가산디지털단지 9번출구 인근,10,서울특별시 금천구 벚꽃로 309,가산디지털단지 7번출구,37.48123169,126.88148499,0,0,389
서초구,ST-1404,02297,남부터미널역 1번출구,2297. 남부터미널역 1번출구,10,서울특별시 서초구 서초중앙로 38,남부터미널역 1번출구,37.48567200,127.01592255,0,0,390
서초구,ST-1405,02298,래미안서초스위트앞,2298. 래미안서초스위트앞,12,서울특별시 서초구 서운로 221,래미안서초스위트앞,37.50241089,127.02160645,0,0,391
서초구,ST-1406,02299,한전아트센터 앞,2299. 한전아트센터 앞,12,서울특별시 서초구 효령로72길 60,한전아트센터 앞,37.48646927,127.02806091,0,0,392
강남구,ST-1407,02387,래미안강남힐즈 사거리,2387. 래미안강남힐즈 사거리,10,서울특별시 강남구 자곡로 101,래미안강남힐즈 사거리,37.47245407,127.09607697,0,0,393
송파구,ST-1408,01277,성내7교,1277. 성내7교,15,서울특별시 송파구 오금동 75-4,,37.50562668,127.13642120,0,0,394
